
SetupTitle, Transfer(1)
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, Vgs
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, -10
TestParameter, Output.Graph.XAxis.Right, 10
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true
TestParameter, Output.Graph.YAxis.Data, Ids
TestParameter, Output.Graph.YAxis.Scale, Linear
TestParameter, Output.Graph.YAxis.Bottom, -0.001
TestParameter, Output.Graph.YAxis.Top, 0.001
TestParameter, Output.Graph.YAxis.Group, 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 07/21/2020 19:52:10
MetaData, TestRecord.TestTarget, 0303d69
MetaData, TestRecord.IterationIndex, 54
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 7f6bc398-6207-41bb-a3a9-edf9419d0566
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Vgs
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -5
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 5
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, Ids
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1E-10
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 4E-07
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, -0.00025006251562890725
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, -0.00025006251562890725
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, -0.00025006251562890725
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, -0.00025006251562890725
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, -0.00025006251562890725
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU1:HR, Name=Vgs, Direction=Double, Linear/Log=LINEAR, Start=-5 V, Stop=5 V, Step=50 mV, No. of Steps=201, Compliance=50 mA, Pwr Comp=OFF	[VAR2] Unit=SMU2:HR, Name=Vds, Start=10 mV, Stop=30 mV, Step=20 mV, No. of Steps=2, Compliance=50 mA, Pwr Comp=OFF
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, Vds	0.01,0.03	0.01	0.02	2
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, Transfer(1)
Dimension1, 402, 402
Dimension2, 2, 2
DataName, Vgs, Ids
DataValue, -5, 1.0784000000000001E-10
DataValue, -4.95, 1.1318E-10
DataValue, -4.9, 1.1782000000000001E-10
DataValue, -4.8500000000000005, 1.3067E-10
DataValue, -4.8, 1.3247E-10
DataValue, -4.75, 1.4341E-10
DataValue, -4.7, 1.7062E-10
DataValue, -4.65, 1.6129000000000002E-10
DataValue, -4.6000000000000005, 1.8765000000000002E-10
DataValue, -4.55, 1.9748000000000003E-10
DataValue, -4.5, 2.112E-10
DataValue, -4.45, 2.4719E-10
DataValue, -4.4, 2.5184000000000003E-10
DataValue, -4.3500000000000005, 2.7454E-10
DataValue, -4.3, 3.0746000000000004E-10
DataValue, -4.25, 3.2050000000000003E-10
DataValue, -4.2, 3.4574000000000004E-10
DataValue, -4.15, 3.5240000000000004E-10
DataValue, -4.1, 3.6892E-10
DataValue, -4.05, 4.0814000000000005E-10
DataValue, -4, 4.6569000000000007E-10
DataValue, -3.95, 4.9723E-10
DataValue, -3.9, 5.4467E-10
DataValue, -3.85, 5.6808000000000007E-10
DataValue, -3.8000000000000003, 5.8261E-10
DataValue, -3.75, 6.1898000000000007E-10
DataValue, -3.7, 6.4677E-10
DataValue, -3.65, 7.0551000000000008E-10
DataValue, -3.6, 7.8686E-10
DataValue, -3.5500000000000003, 7.7601000000000009E-10
DataValue, -3.5, 8.4559000000000008E-10
DataValue, -3.45, 8.0596000000000008E-10
DataValue, -3.4, 9.6601E-10
DataValue, -3.35, 1.07265E-09
DataValue, -3.3000000000000003, 8.902E-10
DataValue, -3.25, 9.788E-10
DataValue, -3.2, 1.0546E-09
DataValue, -3.15, 1.1278E-09
DataValue, -3.1, 1.3323E-09
DataValue, -3.0500000000000003, 1.443E-09
DataValue, -3, 1.6836E-09
DataValue, -2.95, 1.805E-09
DataValue, -2.9, 2.0512E-09
DataValue, -2.85, 2.1346E-09
DataValue, -2.8000000000000003, 2.4168999999999998E-09
DataValue, -2.75, 2.6269E-09
DataValue, -2.7, 2.8551E-09
DataValue, -2.65, 3.3917E-09
DataValue, -2.6, 3.6862E-09
DataValue, -2.5500000000000003, 4.1436E-09
DataValue, -2.5, 4.4608E-09
DataValue, -2.45, 4.7868E-09
DataValue, -2.4, 5.6236E-09
DataValue, -2.35, 6.6213E-09
DataValue, -2.3000000000000003, 6.9852E-09
DataValue, -2.25, 8.0868E-09
DataValue, -2.2, 8.9665E-09
DataValue, -2.15, 8.2498E-09
DataValue, -2.1, 8.3587E-09
DataValue, -2.05, 9.1212E-09
DataValue, -2, 1.05998E-08
DataValue, -1.95, 1.00062E-08
DataValue, -1.9000000000000001, 1.13367E-08
DataValue, -1.85, 1.2241999999999998E-08
DataValue, -1.8, 1.3740999999999999E-08
DataValue, -1.75, 1.4168399999999998E-08
DataValue, -1.7, 1.58276E-08
DataValue, -1.6500000000000001, 1.6672E-08
DataValue, -1.6, 1.8350399999999997E-08
DataValue, -1.55, 1.99276E-08
DataValue, -1.5, 2.07088E-08
DataValue, -1.45, 2.15226E-08
DataValue, -1.4000000000000001, 2.26956E-08
DataValue, -1.35, 2.29466E-08
DataValue, -1.3, 2.39812E-08
DataValue, -1.25, 2.5277399999999997E-08
DataValue, -1.2, 2.6480199999999997E-08
DataValue, -1.1500000000000001, 2.7682999999999997E-08
DataValue, -1.1, 2.8602599999999996E-08
DataValue, -1.05, 2.9241999999999998E-08
DataValue, -1, 3.05784E-08
DataValue, -0.95000000000000007, 3.16318E-08
DataValue, -0.9, 3.32094E-08
DataValue, -0.85, 3.4129599999999993E-08
DataValue, -0.8, 3.55482E-08
DataValue, -0.75, 3.6716199999999994E-08
DataValue, -0.70000000000000007, 3.7989799999999994E-08
DataValue, -0.65, 3.8772799999999995E-08
DataValue, -0.6, 4.005E-08
DataValue, -0.55, 4.1305199999999996E-08
DataValue, -0.5, 4.2040399999999993E-08
DataValue, -0.45, 4.3557399999999993E-08
DataValue, -0.4, 4.4996399999999997E-08
DataValue, -0.35000000000000003, 4.6148799999999994E-08
DataValue, -0.3, 4.7226999999999997E-08
DataValue, -0.25, 4.8353599999999996E-08
DataValue, -0.2, 4.94794E-08
DataValue, -0.15, 5.0241599999999992E-08
DataValue, -0.1, 5.1336E-08
DataValue, -0.05, 5.2796999999999993E-08
DataValue, 0, 5.4164599999999994E-08
DataValue, 0.05, 5.5416799999999995E-08
DataValue, 0.1, 5.6278599999999995E-08
DataValue, 0.15, 5.7692799999999995E-08
DataValue, 0.2, 5.8678399999999993E-08
DataValue, 0.25, 5.9927999999999992E-08
DataValue, 0.3, 6.11638E-08
DataValue, 0.35000000000000003, 6.2153799999999991E-08
DataValue, 0.4, 6.33224E-08
DataValue, 0.45, 6.44688E-08
DataValue, 0.5, 6.543279999999999E-08
DataValue, 0.55, 6.64908E-08
DataValue, 0.6, 6.70968E-08
DataValue, 0.65, 6.8284999999999992E-08
DataValue, 0.70000000000000007, 6.962719999999999E-08
DataValue, 0.75, 7.052619999999999E-08
DataValue, 0.8, 7.16958E-08
DataValue, 0.85, 7.26816E-08
DataValue, 0.9, 7.40198E-08
DataValue, 0.95000000000000007, 7.5009E-08
DataValue, 1, 7.5163599999999989E-08
DataValue, 1.05, 7.6566599999999992E-08
DataValue, 1.1, 7.7465599999999992E-08
DataValue, 1.1500000000000001, 7.8504999999999987E-08
DataValue, 1.2, 7.9523999999999991E-08
DataValue, 1.25, 8.1120999999999989E-08
DataValue, 1.3, 8.17548E-08
DataValue, 1.35, 8.2755199999999987E-08
DataValue, 1.4000000000000001, 8.3789E-08
DataValue, 1.45, 8.4019399999999988E-08
DataValue, 1.5, 8.5095199999999993E-08
DataValue, 1.55, 8.60452E-08
DataValue, 1.6, 8.6911199999999987E-08
DataValue, 1.6500000000000001, 8.8065999999999989E-08
DataValue, 1.7, 8.9356599999999989E-08
DataValue, 1.75, 9.02704E-08
DataValue, 1.8, 9.0512E-08
DataValue, 1.85, 9.1708399999999985E-08
DataValue, 1.9000000000000001, 9.24742E-08
DataValue, 1.95, 9.3436999999999992E-08
DataValue, 2, 9.3771599999999992E-08
DataValue, 2.05, 9.420599999999999E-08
DataValue, 2.1, 9.5535999999999989E-08
DataValue, 2.15, 9.63032E-08
DataValue, 2.2, 9.6993599999999993E-08
DataValue, 2.25, 9.79286E-08
DataValue, 2.3000000000000003, 9.8653199999999988E-08
DataValue, 2.35, 9.9283199999999987E-08
DataValue, 2.4, 9.962859999999999E-08
DataValue, 2.45, 1.0043659999999999E-07
DataValue, 2.5, 1.0160039999999999E-07
DataValue, 2.5500000000000003, 1.0193339999999999E-07
DataValue, 2.6, 1.0215059999999999E-07
DataValue, 2.65, 1.0288259999999999E-07
DataValue, 2.7, 1.0423619999999999E-07
DataValue, 2.75, 1.0461699999999999E-07
DataValue, 2.8000000000000003, 1.0536419999999999E-07
DataValue, 2.85, 1.0538299999999999E-07
DataValue, 2.9, 1.0636819999999999E-07
DataValue, 2.95, 1.072064E-07
DataValue, 3, 1.0800799999999998E-07
DataValue, 3.0500000000000003, 1.089368E-07
DataValue, 3.1, 1.0900319999999998E-07
DataValue, 3.15, 1.0985199999999998E-07
DataValue, 3.2, 1.1041239999999999E-07
DataValue, 3.25, 1.104734E-07
DataValue, 3.3000000000000003, 1.1123759999999999E-07
DataValue, 3.35, 1.1099859999999999E-07
DataValue, 3.4, 1.1220379999999999E-07
DataValue, 3.45, 1.128336E-07
DataValue, 3.5, 1.1324059999999999E-07
DataValue, 3.5500000000000003, 1.1350219999999999E-07
DataValue, 3.6, 1.144108E-07
DataValue, 3.65, 1.14997E-07
DataValue, 3.7, 1.1612E-07
DataValue, 3.75, 1.17E-07
DataValue, 3.8000000000000003, 1.1753999999999999E-07
DataValue, 3.85, 1.1758E-07
DataValue, 3.9, 1.1862E-07
DataValue, 3.95, 1.1842E-07
DataValue, 4, 1.19E-07
DataValue, 4.05, 1.1973999999999999E-07
DataValue, 4.1, 1.2006E-07
DataValue, 4.15, 1.2052E-07
DataValue, 4.2, 1.2124E-07
DataValue, 4.25, 1.2178E-07
DataValue, 4.3, 1.2234E-07
DataValue, 4.3500000000000005, 1.2288E-07
DataValue, 4.4, 1.2332E-07
DataValue, 4.45, 1.2366E-07
DataValue, 4.5, 1.2392E-07
DataValue, 4.55, 1.2424E-07
DataValue, 4.6000000000000005, 1.2472E-07
DataValue, 4.65, 1.257E-07
DataValue, 4.7, 1.2615999999999999E-07
DataValue, 4.75, 1.2624E-07
DataValue, 4.8, 1.2694E-07
DataValue, 4.8500000000000005, 1.2797999999999999E-07
DataValue, 4.9, 1.2864E-07
DataValue, 4.95, 1.289E-07
DataValue, 5, 1.2898E-07
DataValue, 5, 1.28E-07
DataValue, 4.95, 1.288E-07
DataValue, 4.9, 1.2755999999999999E-07
DataValue, 4.8500000000000005, 1.2776E-07
DataValue, 4.8, 1.2734E-07
DataValue, 4.75, 1.2556E-07
DataValue, 4.7, 1.2586E-07
DataValue, 4.65, 1.2517999999999999E-07
DataValue, 4.6000000000000005, 1.2392E-07
DataValue, 4.55, 1.2408E-07
DataValue, 4.5, 1.2316E-07
DataValue, 4.45, 1.2288E-07
DataValue, 4.4, 1.2244E-07
DataValue, 4.3500000000000005, 1.2168E-07
DataValue, 4.3, 1.2126E-07
DataValue, 4.25, 1.208E-07
DataValue, 4.2, 1.2015999999999999E-07
DataValue, 4.15, 1.1978E-07
DataValue, 4.1, 1.1916E-07
DataValue, 4.05, 1.1828E-07
DataValue, 4, 1.1776E-07
DataValue, 3.95, 1.1725999999999999E-07
